	Kingdom	Phylum	Class	Order	Family	Genus	Species
>ASV_1	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	NA
>ASV_2	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus CC9902	NA
>ASV_3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_5	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	marinus
>ASV_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
>ASV_7	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter	NA
>ASV_8	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	NA
>ASV_9	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	Hormoscilla SI04-45	NA
>ASV_10	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_11	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	NA
>ASV_12	Bacteria	NA	NA	NA	NA	NA	NA
>ASV_13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_14	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	NA
>ASV_15	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_16	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	marinus
>ASV_17	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	[Synechococcus] spongiarum group	NA
>ASV_18	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	NA
>ASV_19	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_20	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	NA	NA	NA
>ASV_21	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
>ASV_22	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_23	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Synechococcales Incertae Sedis	Schizothrix LEGE 07164	NA
>ASV_24	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	NA
>ASV_25	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_26	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Endozoicomonas	euniceicola
